router_type,category,subcategory,proposed_path,responsibility,routing_scope
subcategory_router,development,backend,task-folder/agents/skills/development/backend/SKILL.md,Subcategory router directing requests within the backend cluster under development.,development_backend_cluster
subcategory_router,development,frontend,task-folder/agents/skills/development/frontend/SKILL.md,Subcategory router directing requests within the frontend cluster under development.,development_frontend_cluster
subcategory_router,development,fullstack,task-folder/agents/skills/development/fullstack/SKILL.md,Subcategory router directing requests within the fullstack cluster under development.,development_fullstack_cluster
subcategory_router,development,mobile,task-folder/agents/skills/development/mobile/SKILL.md,Subcategory router directing requests within the mobile cluster under development.,development_mobile_cluster
subcategory_router,development,software-architecture,task-folder/agents/skills/development/software-architecture/SKILL.md,Subcategory router directing requests within the software-architecture cluster under development.,development_software-architecture_cluster
subcategory_router,development,systems,task-folder/agents/skills/development/systems/SKILL.md,Subcategory router directing requests within the systems cluster under development.,development_systems_cluster
category_router,infrastructure-and-ops,None,task-folder/agents/skills/infrastructure-and-ops/SKILL.md,Parent category router delegating user intents to focused infrastructure-and-ops subcategories and child skills.,infrastructure-and-ops_domain
subcategory_router,infrastructure-and-ops,ci-cd,task-folder/agents/skills/infrastructure-and-ops/ci-cd/SKILL.md,Subcategory router directing requests within the ci-cd cluster under infrastructure-and-ops.,infrastructure-and-ops_ci-cd_cluster
subcategory_router,infrastructure-and-ops,cloud-platforms,task-folder/agents/skills/infrastructure-and-ops/cloud-platforms/SKILL.md,Subcategory router directing requests within the cloud-platforms cluster under infrastructure-and-ops.,infrastructure-and-ops_cloud-platforms_cluster
subcategory_router,infrastructure-and-ops,containers-and-orchestration,task-folder/agents/skills/infrastructure-and-ops/containers-and-orchestration/SKILL.md,Subcategory router directing requests within the containers-and-orchestration cluster under infrastructure-and-ops.,infrastructure-and-ops_containers-and-orchestration_cluster
subcategory_router,infrastructure-and-ops,observability,task-folder/agents/skills/infrastructure-and-ops/observability/SKILL.md,Subcategory router directing requests within the observability cluster under infrastructure-and-ops.,infrastructure-and-ops_observability_cluster
subcategory_router,infrastructure-and-ops,server-management,task-folder/agents/skills/infrastructure-and-ops/server-management/SKILL.md,Subcategory router directing requests within the server-management cluster under infrastructure-and-ops.,infrastructure-and-ops_server-management_cluster
category_router,marketing-and-seo,None,task-folder/agents/skills/marketing-and-seo/SKILL.md,Parent category router delegating user intents to focused marketing-and-seo subcategories and child skills.,marketing-and-seo_domain
subcategory_router,marketing-and-seo,content-and-campaigns,task-folder/agents/skills/marketing-and-seo/content-and-campaigns/SKILL.md,Subcategory router directing requests within the content-and-campaigns cluster under marketing-and-seo.,marketing-and-seo_content-and-campaigns_cluster
subcategory_router,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/SKILL.md,Subcategory router directing requests within the cro cluster under marketing-and-seo.,marketing-and-seo_cro_cluster
subcategory_router,marketing-and-seo,geo-and-local-seo,task-folder/agents/skills/marketing-and-seo/geo-and-local-seo/SKILL.md,Subcategory router directing requests within the geo-and-local-seo cluster under marketing-and-seo.,marketing-and-seo_geo-and-local-seo_cluster
subcategory_router,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/SKILL.md,Subcategory router directing requests within the on-page-seo cluster under marketing-and-seo.,marketing-and-seo_on-page-seo_cluster
subcategory_router,marketing-and-seo,technical-seo,task-folder/agents/skills/marketing-and-seo/technical-seo/SKILL.md,Subcategory router directing requests within the technical-seo cluster under marketing-and-seo.,marketing-and-seo_technical-seo_cluster
category_router,meta-and-agent-skills,None,task-folder/agents/skills/meta-and-agent-skills/SKILL.md,Parent category router delegating user intents to focused meta-and-agent-skills subcategories and child skills.,meta-and-agent-skills_domain
subcategory_router,meta-and-agent-skills,agent-architecture,task-folder/agents/skills/meta-and-agent-skills/agent-architecture/SKILL.md,Subcategory router directing requests within the agent-architecture cluster under meta-and-agent-skills.,meta-and-agent-skills_agent-architecture_cluster
subcategory_router,meta-and-agent-skills,skill-lifecycle,task-folder/agents/skills/meta-and-agent-skills/skill-lifecycle/SKILL.md,Subcategory router directing requests within the skill-lifecycle cluster under meta-and-agent-skills.,meta-and-agent-skills_skill-lifecycle_cluster
subcategory_router,meta-and-agent-skills,skill-validation,task-folder/agents/skills/meta-and-agent-skills/skill-validation/SKILL.md,Subcategory router directing requests within the skill-validation cluster under meta-and-agent-skills.,meta-and-agent-skills_skill-validation_cluster
category_router,quality-and-security,None,task-folder/agents/skills/quality-and-security/SKILL.md,Parent category router delegating user intents to focused quality-and-security subcategories and child skills.,quality-and-security_domain
subcategory_router,quality-and-security,compliance,task-folder/agents/skills/quality-and-security/compliance/SKILL.md,Subcategory router directing requests within the compliance cluster under quality-and-security.,quality-and-security_compliance_cluster
subcategory_router,quality-and-security,debugging,task-folder/agents/skills/quality-and-security/debugging/SKILL.md,Subcategory router directing requests within the debugging cluster under quality-and-security.,quality-and-security_debugging_cluster
subcategory_router,quality-and-security,security,task-folder/agents/skills/quality-and-security/security/SKILL.md,Subcategory router directing requests within the security cluster under quality-and-security.,quality-and-security_security_cluster
subcategory_router,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/SKILL.md,Subcategory router directing requests within the testing cluster under quality-and-security.,quality-and-security_testing_cluster
category_router,workflow-and-automation,None,task-folder/agents/skills/workflow-and-automation/SKILL.md,Parent category router delegating user intents to focused workflow-and-automation subcategories and child skills.,workflow-and-automation_domain
subcategory_router,workflow-and-automation,git-and-vcs,task-folder/agents/skills/workflow-and-automation/git-and-vcs/SKILL.md,Subcategory router directing requests within the git-and-vcs cluster under workflow-and-automation.,workflow-and-automation_git-and-vcs_cluster
subcategory_router,workflow-and-automation,task-orchestration,task-folder/agents/skills/workflow-and-automation/task-orchestration/SKILL.md,Subcategory router directing requests within the task-orchestration cluster under workflow-and-automation.,workflow-and-automation_task-orchestration_cluster
subcategory_router,workflow-and-automation,tool-integration,task-folder/agents/skills/workflow-and-automation/tool-integration/SKILL.md,Subcategory router directing requests within the tool-integration cluster under workflow-and-automation.,workflow-and-automation_tool-integration_cluster
subcategory_router,workflow-and-automation,web-scraping,task-folder/agents/skills/workflow-and-automation/web-scraping/SKILL.md,Subcategory router directing requests within the web-scraping cluster under workflow-and-automation.,workflow-and-automation_web-scraping_cluster
