source_path,compatibility_status,proposed_category,proposed_subcategory,proposed_final_path,routing_role,placement_confidence,placement_basis,placement_concern,future_structure_candidate
task-folder/agents/skills/design/business-analytics-reporter,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/business-analytics-reporter,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/design-review_2,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/design-review-2,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/design/design-brief,Ambiguous and requiring manual review,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/design-brief,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/design-md_v1,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/design-md-v1,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/design/gpt-tasteskill,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/gpt-tasteskill,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/brand-analyzer,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/brand-analyzer,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/design-consultation,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/design-consultation,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/design/brandkit2,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/brandkit2,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/copywriting,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/copywriting,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/fortify,Ambiguous and requiring manual review,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/fortify,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/stitch-skill,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/stitch-skill,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/output-skill,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/output-skill,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/doc-coauthoring,Supported after conversion,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/doc-coauthoring,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/color-expert,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/color-expert,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/travel-planner,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/travel-planner,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/organize,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/organize,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/shadcn-ui,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/shadcn-ui,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/design/designer-tools,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/designer-tools,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/investigate,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/investigate,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/include,Ambiguous and requiring manual review,design-and-experience,motion-and-graphics,task-folder/agents/skills/design-and-experience/motion-and-graphics/include,child_skill,high,"Primary outcome is visual motion, 3D rendering, canvas animations, and interactive graphics.",None,none
task-folder/agents/skills/design/image-to-code-skill,Ambiguous and requiring manual review,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/image-to-code-skill,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/creative-director,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/creative-director,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/responsive-design,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/responsive-design,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/dark-mode-design,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/dark-mode-design,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/spacing-system,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/spacing-system,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/data-visualization,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/data-visualization,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/color-system,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/color-system,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/typography-scale,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/typography-scale,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/visual-hierarchy,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/visual-hierarchy,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/von-restorff-effect,Ambiguous and requiring manual review,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/von-restorff-effect,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/aesthetic-usability,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/aesthetic-usability,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/illustration-style,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/illustration-style,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/layout-grid,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/layout-grid,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/readable-measure,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/readable-measure,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/law-of-proximity,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/law-of-proximity,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/law-of-common-region,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/law-of-common-region,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-debt-audit,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/design-debt-audit,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/version-control-strategy,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/version-control-strategy,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-qa-checklist,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/design-qa-checklist,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/team-workflow,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/team-workflow,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-impact-reporting,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/design-impact-reporting,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-critique,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/design-critique,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-review-process,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/design-review-process,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-sprint-plan,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/design-sprint-plan,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/handoff-spec,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/handoff-spec,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/visual-critique/skills/critique-typography,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/critique-typography,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/design/designer-skills-main/visual-critique/skills/critique-visual-hierarchy,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/critique-visual-hierarchy,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/design/designer-skills-main/visual-critique/skills/critique-composition,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/critique-composition,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/design/designer-skills-main/visual-critique/skills/critique-brand-consistency,Approved and supported,design-and-experience,taste-and-critique,task-folder/agents/skills/design-and-experience/taste-and-critique/critique-brand-consistency,child_skill,high,"Primary outcome is aesthetic critique, visual design review, and taste heuristics.",None,none
task-folder/agents/skills/design/designer-skills-main/design-research/skills/research-repository,Ambiguous and requiring manual review,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/research-repository,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/designer-skills-main/design-research/skills/journey-map,Approved and supported,design-and-experience,motion-and-graphics,task-folder/agents/skills/design-and-experience/motion-and-graphics/journey-map,child_skill,high,"Primary outcome is visual motion, 3D rendering, canvas animations, and interactive graphics.",None,none
task-folder/agents/skills/design/designer-skills-main/design-research/skills/diary-study-plan,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/diary-study-plan,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/design-research/skills/affinity-diagram,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/affinity-diagram,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/design/designer-skills-main/design-research/skills/interview-script,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/interview-script,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
