canonical_skill_name,origin_path,origin_type,parent_source,proposed_category,proposed_subcategory,phase08_batch,phase08_rewrite_status,phase08_final_destination,phase08_authoring_workflow,phase08_validation_status
ui-setup,task-folder/agents/skills/ui/ui-setup,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-tokens,task-folder/agents/skills/ui/ui-tokens,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
ui-visual-validator,task-folder/agents/skills/ui/ui-visual-validator,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
micro-saas-launcher,task-folder/agents/skills/micro-saas-launcher,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
energy-procurement,task-folder/agents/skills/energy-procurement,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
production-code-audit,task-folder/agents/skills/production-code-audit,canonical_retained_source,none,development,software-architecture,unassigned,pending,pending,unprocessed_in_phase08,pending
cv-generator,task-folder/agents/skills/cv-generator,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
full-stack-orchestration-full-stack-feature,task-folder/agents/skills/full-stack-orchestration-full-stack-feature,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
auto-research,task-folder/agents/skills/auto-research,canonical_retained_source,none,development,fullstack,unassigned,pending,pending,unprocessed_in_phase08,pending
vibecode-production-qa-validator,task-folder/agents/skills/vibecode-production-qa-validator,canonical_retained_source,none,marketing-and-seo,on-page-seo,unassigned,pending,pending,unprocessed_in_phase08,pending
trading-ledger,task-folder/agents/skills/trading-ledger,canonical_retained_source,none,development,backend,unassigned,pending,pending,unprocessed_in_phase08,pending
growth-engine,task-folder/agents/skills/growth-engine,canonical_retained_source,none,marketing-and-seo,content-and-campaigns,unassigned,pending,pending,unprocessed_in_phase08,pending
brand-voice,task-folder/agents/skills/design/brand-voice,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
design-system-generator,task-folder/agents/skills/design/design-system-generator,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
marketing-psychology,task-folder/agents/skills/design/marketing-psychology,canonical_retained_source,none,marketing-and-seo,on-page-seo,unassigned,pending,pending,unprocessed_in_phase08,pending
xlsx,task-folder/agents/skills/design/document-skills/xlsx,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
pdf,task-folder/agents/skills/design/document-skills/pdf,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
pptx,task-folder/agents/skills/design/document-skills/pptx,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
docx,task-folder/agents/skills/design/document-skills/docx,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
business-analytics-reporter,task-folder/agents/skills/design/business-analytics-reporter,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-review_2,task-folder/agents/skills/design/design-review_2,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
design-brief,task-folder/agents/skills/design/design-brief,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-md_v1,task-folder/agents/skills/design/design-md_v1,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
gpt-tasteskill,task-folder/agents/skills/design/gpt-tasteskill,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
brand-analyzer,task-folder/agents/skills/design/brand-analyzer,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-consultation,task-folder/agents/skills/design/design-consultation,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
brandkit2,task-folder/agents/skills/design/brandkit2,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
copywriting,task-folder/agents/skills/design/copywriting,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
fortify,task-folder/agents/skills/design/fortify,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
stitch-skill,task-folder/agents/skills/design/stitch-skill,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
output-skill,task-folder/agents/skills/design/output-skill,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
doc-coauthoring,task-folder/agents/skills/design/doc-coauthoring,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
color-expert,task-folder/agents/skills/design/color-expert,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
travel-planner,task-folder/agents/skills/design/travel-planner,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
organize,task-folder/agents/skills/design/organize,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
designer-tools,task-folder/agents/skills/design/designer-tools,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
investigate,task-folder/agents/skills/design/investigate,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
include,task-folder/agents/skills/design/include,canonical_retained_source,none,design-and-experience,motion-and-graphics,unassigned,pending,pending,unprocessed_in_phase08,pending
creative-director,task-folder/agents/skills/design/creative-director,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
responsive-design,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/responsive-design,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
dark-mode-design,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/dark-mode-design,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
spacing-system,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/spacing-system,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
data-visualization,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/data-visualization,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
color-system,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/color-system,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
typography-scale,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/typography-scale,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
visual-hierarchy,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/visual-hierarchy,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
von-restorff-effect,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/von-restorff-effect,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
aesthetic-usability,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/aesthetic-usability,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
illustration-style,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/illustration-style,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
layout-grid,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/layout-grid,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
readable-measure,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/readable-measure,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
law-of-proximity,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/law-of-proximity,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
law-of-common-region,task-folder/agents/skills/design/designer-skills-main/ui-design/skills/law-of-common-region,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-debt-audit,task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-debt-audit,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
version-control-strategy,task-folder/agents/skills/design/designer-skills-main/design-ops/skills/version-control-strategy,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-qa-checklist,task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-qa-checklist,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
team-workflow,task-folder/agents/skills/design/designer-skills-main/design-ops/skills/team-workflow,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-impact-reporting,task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-impact-reporting,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-critique,task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-critique,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
design-review-process,task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-review-process,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
design-sprint-plan,task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-sprint-plan,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
handoff-spec,task-folder/agents/skills/design/designer-skills-main/design-ops/skills/handoff-spec,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
critique-typography,task-folder/agents/skills/design/designer-skills-main/visual-critique/skills/critique-typography,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
critique-visual-hierarchy,task-folder/agents/skills/design/designer-skills-main/visual-critique/skills/critique-visual-hierarchy,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
critique-composition,task-folder/agents/skills/design/designer-skills-main/visual-critique/skills/critique-composition,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
critique-brand-consistency,task-folder/agents/skills/design/designer-skills-main/visual-critique/skills/critique-brand-consistency,canonical_retained_source,none,design-and-experience,taste-and-critique,unassigned,pending,pending,unprocessed_in_phase08,pending
research-repository,task-folder/agents/skills/design/designer-skills-main/design-research/skills/research-repository,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
journey-map,task-folder/agents/skills/design/designer-skills-main/design-research/skills/journey-map,canonical_retained_source,none,design-and-experience,motion-and-graphics,unassigned,pending,pending,unprocessed_in_phase08,pending
diary-study-plan,task-folder/agents/skills/design/designer-skills-main/design-research/skills/diary-study-plan,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
affinity-diagram,task-folder/agents/skills/design/designer-skills-main/design-research/skills/affinity-diagram,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
interview-script,task-folder/agents/skills/design/designer-skills-main/design-research/skills/interview-script,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
summarize-interview,task-folder/agents/skills/design/designer-skills-main/design-research/skills/summarize-interview,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
empathy-map,task-folder/agents/skills/design/designer-skills-main/design-research/skills/empathy-map,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
jobs-to-be-done,task-folder/agents/skills/design/designer-skills-main/design-research/skills/jobs-to-be-done,canonical_retained_source,none,design-and-experience,motion-and-graphics,unassigned,pending,pending,unprocessed_in_phase08,pending
card-sort-analysis,task-folder/agents/skills/design/designer-skills-main/design-research/skills/card-sort-analysis,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
survey-design,task-folder/agents/skills/design/designer-skills-main/design-research/skills/survey-design,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
usability-test-plan,task-folder/agents/skills/design/designer-skills-main/design-research/skills/usability-test-plan,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
user-persona,task-folder/agents/skills/design/designer-skills-main/design-research/skills/user-persona,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-principles,task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/design-principles,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-brief,task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/design-brief,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
stakeholder-alignment,task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/stakeholder-alignment,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
experience-map,task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/experience-map,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
north-star-vision,task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/north-star-vision,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
metrics-definition,task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/metrics-definition,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
opportunity-framework,task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/opportunity-framework,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
service-blueprint,task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/service-blueprint,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
content-strategy,task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/content-strategy,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
competitive-analysis,task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/competitive-analysis,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
information-architecture,task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/information-architecture,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-token-audit,task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/design-token-audit,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
design-system-adoption,task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/design-system-adoption,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
ux-writing,task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/ux-writing,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
case-study,task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/case-study,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
presentation-deck,task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/presentation-deck,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-rationale,task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/design-rationale,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-negotiation,task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/design-negotiation,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
feedback-patterns,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/feedback-patterns,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
state-machine,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/state-machine,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
form-design,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/form-design,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
fitts-law,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/fitts-law,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
hicks-law,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/hicks-law,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
loading-states,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/loading-states,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
search-ux,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/search-ux,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
onboarding-design,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/onboarding-design,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
error-handling-ux,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/error-handling-ux,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
doherty-threshold,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/doherty-threshold,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
micro-interaction-spec,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/micro-interaction-spec,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
gesture-patterns,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/gesture-patterns,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
animation-principles,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/animation-principles,canonical_retained_source,none,design-and-experience,motion-and-graphics,unassigned,pending,pending,unprocessed_in_phase08,pending
millers-law,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/millers-law,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
navigation-patterns,task-folder/agents/skills/design/designer-skills-main/interaction-design/skills/navigation-patterns,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
localization-design,task-folder/agents/skills/design/designer-skills-main/design-systems/skills/localization-design,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
pattern-library,task-folder/agents/skills/design/designer-skills-main/design-systems/skills/pattern-library,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-system-governance,task-folder/agents/skills/design/designer-skills-main/design-systems/skills/design-system-governance,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
component-spec,task-folder/agents/skills/design/designer-skills-main/design-systems/skills/component-spec,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
theming-system,task-folder/agents/skills/design/designer-skills-main/design-systems/skills/theming-system,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
design-token,task-folder/agents/skills/design/designer-skills-main/design-systems/skills/design-token,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
accessibility-audit,task-folder/agents/skills/design/designer-skills-main/design-systems/skills/accessibility-audit,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
icon-system,task-folder/agents/skills/design/designer-skills-main/design-systems/skills/icon-system,canonical_retained_source,none,design-and-experience,ui-ux,unassigned,pending,pending,unprocessed_in_phase08,pending
motion-system,task-folder/agents/skills/design/designer-skills-main/design-systems/skills/motion-system,canonical_retained_source,none,marketing-and-seo,cro,unassigned,pending,pending,unprocessed_in_phase08,pending
naming-convention,task-folder/agents/skills/design/designer-skills-main/design-systems/skills/naming-convention,canonical_retained_source,none,design-and-experience,design-systems,unassigned,pending,pending,unprocessed_in_phase08,pending
