source_path,canonical_name,category,subcategory,lines,bytes,screening_status,candidate_signals,requires_deep_review,review_status,split_decision,rationale,parent_router_path,child_destination_paths,retired_source_path,content_allocation_count,resources_moved
task-folder/agents/skills/domain-modeling,domain-modeling,development,fullstack,105,4475,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/playwright-skill,playwright-skill,quality-and-security,testing,469,14460,screened_candidate,lines=469,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for playwright-skill with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/commit,commit,development,fullstack,173,5114,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/indexing-issue-auditor,indexing-issue-auditor,marketing-and-seo,technical-seo,116,6025,screened_candidate,modes=10,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for indexing-issue-auditor with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/startup-business-analyst-market-opportunity,startup-business-analyst-market-opportunity,business-and-operations,strategy,250,7393,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/linear-claude-skill,linear-skill,development,fullstack,525,13975,screened_candidate,lines=525,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for linear-skill with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/cc-skill-project-guidelines-example,cc-skill-project-guidelines-example,development,fullstack,345,9735,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/magic-ui-generator,magic-ui-generator,design-and-experience,ui-ux,46,3066,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ads/paid-ads,paid-ads,marketing-and-seo,on-page-seo,562,15301,screened_candidate,lines=562,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for paid-ads with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/ads/ad-creative,ad-creative,marketing-and-seo,content-and-campaigns,375,13751,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ads/ad-campaign-analyzer,ad-campaign-analyzer,marketing-and-seo,cro,382,17185,screened_candidate,modes=7,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for ad-campaign-analyzer with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/not-human-search-mcp,not-human-search-mcp,development,backend,155,4675,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/read-all-adrs,read-all-adrs,development,software-architecture,35,1173,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/using-git-worktrees,using-git-worktrees,workflow-and-automation,git-and-vcs,228,6007,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/cloud-devops,cloud-devops,infrastructure-and-ops,containers-and-orchestration,240,5773,screened_candidate,modes=7,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for cloud-devops with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/cheerio-parsing,cheerio-parsing,development,backend,374,8494,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/audio-transcriber,audio-transcriber,data-and-ai,llm-and-rag,559,15547,screened_candidate,lines=559; modes=3,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for audio-transcriber with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/ui/ui-ux-pro-max,ui-ux-pro-max,design-and-experience,ui-ux,361,12991,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-score,ui-score,design-and-experience,taste-and-critique,145,7400,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-lint,ui-lint,design-and-experience,design-systems,111,3444,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-page,ui-page,design-and-experience,taste-and-critique,90,3314,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-pattern,ui-pattern,design-and-experience,design-systems,74,2769,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-update,ui-update,design-and-experience,taste-and-critique,167,5676,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-skills-root,ui-skills-root,design-and-experience,ui-ux,72,2162,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-motion,ui-motion,design-and-experience,taste-and-critique,181,10304,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-review,ui-review,design-and-experience,design-systems,108,5242,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-ux-designer,ui-ux-designer,design-and-experience,design-systems,212,9757,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-component,ui-component,design-and-experience,taste-and-critique,76,3141,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-skills,ui-skills,design-and-experience,ui-ux,28,994,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-setup,ui-setup,design-and-experience,design-systems,212,7957,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-tokens,ui-tokens,design-and-experience,taste-and-critique,65,2609,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/ui/ui-visual-validator,ui-visual-validator,design-and-experience,design-systems,216,10124,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/micro-saas-launcher,micro-saas-launcher,marketing-and-seo,cro,520,12157,screened_candidate,lines=520,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for micro-saas-launcher with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/energy-procurement,energy-procurement,development,fullstack,208,29823,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/production-code-audit,production-code-audit,development,software-architecture,548,16225,screened_candidate,lines=548; modes=5,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for production-code-audit with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/cv-generator,cv-generator,development,backend,874,32102,screened_candidate,lines=874,true,deep_reviewed,Retain as singular skill with references,"Skill represents a cohesive singular job (cv-generator) with extensive supporting reference tables, checklists, or code examples. Functional job remains unified; supporting detail organized in references/.",none,none,none,0,none
task-folder/agents/skills/full-stack-orchestration-full-stack-feature,full-stack-orchestration-full-stack-feature,development,fullstack,143,10753,screened_candidate,modes=4,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for full-stack-orchestration-full-stack-feature with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/auto-research,auto-research,development,fullstack,126,5856,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/vibecode-production-qa-validator,vibecode-production-qa-validator,marketing-and-seo,on-page-seo,468,17916,screened_candidate,lines=468; modes=26,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for vibecode-production-qa-validator with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/trading-ledger,trading-ledger,development,backend,129,8817,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/growth-engine,growth-engine,marketing-and-seo,content-and-campaigns,248,8443,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/brand-voice,brand-voice,marketing-and-seo,cro,97,3636,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/design-system-generator,design-system-generator,design-and-experience,design-systems,59,3018,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/marketing-psychology,marketing-psychology,marketing-and-seo,on-page-seo,43,1267,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/document-skills/xlsx,xlsx,design-and-experience,ui-ux,289,10632,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/document-skills/pdf,pdf,design-and-experience,ui-ux,294,7068,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/document-skills/pptx,pptx,design-and-experience,ui-ux,484,25551,screened_candidate,lines=484,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for pptx with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/document-skills/docx,docx,design-and-experience,ui-ux,197,10150,screened_candidate,decision_tree,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for docx with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/business-analytics-reporter,business-analytics-reporter,design-and-experience,ui-ux,353,12495,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/design-review_2,design-review_2,design-and-experience,taste-and-critique,42,1205,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/design-brief,design-brief,design-and-experience,ui-ux,252,13426,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/design-md_v1,design-md_v1,design-and-experience,design-systems,42,1175,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/gpt-tasteskill,gpt-tasteskill,marketing-and-seo,cro,74,7857,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/brand-analyzer,brand-analyzer,design-and-experience,ui-ux,433,14448,screened_candidate,lines=433; modes=3,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for brand-analyzer with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/design-consultation,design-consultation,design-and-experience,design-systems,42,1252,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/brandkit2,brandkit2,design-and-experience,ui-ux,798,15992,screened_candidate,lines=798,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for brandkit2 with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/copywriting,copywriting,design-and-experience,ui-ux,43,1193,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/fortify,fortify,design-and-experience,ui-ux,255,22499,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/stitch-skill,stitch-skill,marketing-and-seo,cro,184,11851,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/output-skill,output-skill,design-and-experience,ui-ux,49,2592,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/doc-coauthoring,doc-coauthoring,design-and-experience,ui-ux,375,15815,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/color-expert,color-expert,design-and-experience,ui-ux,43,1325,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/travel-planner,travel-planner,design-and-experience,ui-ux,535,15056,screened_candidate,lines=535,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for travel-planner with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/organize,organize,design-and-experience,ui-ux,459,32214,screened_candidate,lines=459,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for organize with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/designer-tools,designer-tools,design-and-experience,ui-ux,147,8867,screened_candidate,modes=5,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for designer-tools with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/investigate,investigate,design-and-experience,ui-ux,425,29165,screened_candidate,lines=425,true,deep_reviewed,Retain as singular skill without modification,"Deep review confirmed singular cohesive workflow: sequential execution steps for investigate with unified trigger, input parameters, and output artifacts.",none,none,none,0,none
task-folder/agents/skills/design/include,include,design-and-experience,motion-and-graphics,279,31718,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/creative-director,creative-director,design-and-experience,ui-ux,68,2861,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/responsive-design,responsive-design,marketing-and-seo,cro,38,1594,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/dark-mode-design,dark-mode-design,design-and-experience,ui-ux,39,1590,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/spacing-system,spacing-system,design-and-experience,ui-ux,38,1329,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/data-visualization,data-visualization,design-and-experience,ui-ux,45,1906,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/color-system,color-system,design-and-experience,ui-ux,34,1480,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/typography-scale,typography-scale,design-and-experience,ui-ux,43,1374,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/visual-hierarchy,visual-hierarchy,design-and-experience,ui-ux,37,1740,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/von-restorff-effect,von-restorff-effect,design-and-experience,ui-ux,36,2276,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/aesthetic-usability,aesthetic-usability,design-and-experience,taste-and-critique,31,2539,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/illustration-style,illustration-style,design-and-experience,ui-ux,41,1773,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/layout-grid,layout-grid,design-and-experience,ui-ux,34,1477,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/readable-measure,readable-measure,marketing-and-seo,cro,34,2138,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/law-of-proximity,law-of-proximity,design-and-experience,ui-ux,36,2511,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/ui-design/skills/law-of-common-region,law-of-common-region,design-and-experience,ui-ux,41,2865,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-debt-audit,design-debt-audit,marketing-and-seo,cro,72,4506,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/version-control-strategy,version-control-strategy,design-and-experience,ui-ux,44,1723,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-qa-checklist,design-qa-checklist,design-and-experience,ui-ux,57,2049,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/team-workflow,team-workflow,design-and-experience,ui-ux,52,2105,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-impact-reporting,design-impact-reporting,design-and-experience,ui-ux,88,4698,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-critique,design-critique,design-and-experience,taste-and-critique,44,1937,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-review-process,design-review-process,design-and-experience,taste-and-critique,51,1728,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/design-sprint-plan,design-sprint-plan,design-and-experience,ui-ux,51,1796,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/design-ops/skills/handoff-spec,handoff-spec,design-and-experience,ui-ux,46,1812,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/visual-critique/skills/critique-typography,critique-typography,design-and-experience,taste-and-critique,45,3222,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/visual-critique/skills/critique-visual-hierarchy,critique-visual-hierarchy,design-and-experience,taste-and-critique,40,2330,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/visual-critique/skills/critique-composition,critique-composition,design-and-experience,taste-and-critique,46,2976,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/visual-critique/skills/critique-brand-consistency,critique-brand-consistency,design-and-experience,taste-and-critique,42,2780,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/design-research/skills/research-repository,research-repository,marketing-and-seo,cro,80,5478,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/design-research/skills/journey-map,journey-map,design-and-experience,motion-and-graphics,43,1988,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/design-research/skills/diary-study-plan,diary-study-plan,design-and-experience,ui-ux,26,1231,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
task-folder/agents/skills/design/designer-skills-main/design-research/skills/affinity-diagram,affinity-diagram,design-and-experience,design-systems,23,1332,not_candidate,none,false,screened_out,Retain as singular skill without modification,"Initial screening verified focused, single-function skill with singular trigger, workflow, and output.",none,none,none,0,none
